num_clients,run,client_id,elapsed_ms
1,1,0,17.855
1,2,0,31.935
5,1,0,73.414
5,1,1,117.468
5,1,2,81.042
5,1,3,120.534
5,1,4,112.719
5,2,0,105.248
5,2,1,25.674
5,2,2,110.025
5,2,3,112.376
5,2,4,104.28
9,1,0,176.292
9,1,1,25.425
9,1,2,145.813
9,1,3,89.897
9,1,4,187.889
9,1,5,185.377
9,1,6,178.262
9,1,7,174.173
9,1,8,188.182
9,2,0,184.59
9,2,1,33.955
9,2,2,202.164
9,2,3,198.129
9,2,4,219.678
9,2,5,210.662
9,2,6,216.078
9,2,7,216.466
9,2,8,208.133
13,1,0,46.785
13,1,1,225.233
13,1,2,20.666
13,1,3,231.133
13,1,4,216.308
13,1,5,293.084
13,1,6,294.31
13,1,7,289.829
13,1,8,275.854
13,1,9,292.299
13,1,10,288.968
13,1,11,288.397
13,1,12,285.788
13,2,0,266.559
13,2,1,34.725
13,2,2,211.885
13,2,3,274.304
13,2,4,277.26
13,2,5,311.358
13,2,6,314.116
13,2,7,315.797
13,2,8,313.932
13,2,9,313.513
13,2,10,309.389
13,2,11,311.902
13,2,12,309.401
17,1,0,28.986
17,1,1,152.854
17,1,2,15.632
17,1,3,297.611
17,1,4,309.235
17,1,5,271.457
17,1,6,258.603
17,1,7,360.188
17,1,8,365.312
17,1,9,371.533
17,1,10,365.411
17,1,11,356.036
17,1,12,359.801
17,1,13,371.629
17,1,14,369.552
17,1,15,354.671
17,1,16,355.16
17,2,0,44.012
17,2,1,190.039
17,2,2,335.378
17,2,3,312.488
17,2,4,354.777
17,2,5,345.69
17,2,6,401.134
17,2,7,395.312
17,2,8,404.488
17,2,9,407.955
17,2,10,413.429
17,2,11,414.656
17,2,12,409.621
17,2,13,411.54
17,2,14,406.536
17,2,15,407.419
17,2,16,396.413
21,1,0,201.549
21,1,1,36.372
21,1,2,128.657
21,1,3,349.306
21,1,4,413.956
21,1,5,316.604
21,1,6,423.119
21,1,7,423.898
21,1,8,459.252
21,1,9,484.006
21,1,10,480.426
21,1,11,483.075
21,1,12,495.117
21,1,13,484.125
21,1,14,486.055
21,1,15,489.735
21,1,16,479.798
21,1,17,478.869
21,1,18,480.182
21,1,19,465.533
21,1,20,466.759
21,2,0,23.68
21,2,1,70.838
21,2,2,254.142
21,2,3,269.459
21,2,4,208.62
21,2,5,308.743
21,2,6,381.379
21,2,7,434.994
21,2,8,439.94
21,2,9,444.656
21,2,10,438.096
21,2,11,471.385
21,2,12,454.553
21,2,13,468.938
21,2,14,454.169
21,2,15,458.446
21,2,16,455.549
21,2,17,460.748
21,2,18,456.85
21,2,19,450.298
21,2,20,456.711
25,1,0,231.669
25,1,1,143.604
25,1,2,24.871
25,1,3,319.696
25,1,4,278.799
25,1,5,380.821
25,1,6,461.847
25,1,7,481.556
25,1,8,500.676
25,1,9,502.235
25,1,10,543.556
25,1,11,520.471
25,1,12,553.239
25,1,13,559.754
25,1,14,550.721
25,1,15,553.639
25,1,16,563.098
25,1,17,548.877
25,1,18,549.612
25,1,19,548.675
25,1,20,543.552
25,1,21,536.927
25,1,22,539.344
25,1,23,522.443
25,1,24,522.474
25,2,0,170.552
25,2,1,265.985
25,2,2,17.505
25,2,3,193.359
25,2,4,248.748
25,2,5,413.539
25,2,6,465.846
25,2,7,493.904
25,2,8,483.591
25,2,9,514.564
25,2,10,550.078
25,2,11,537.818
25,2,12,549.451
25,2,13,555.864
25,2,14,558.466
25,2,15,557.393
25,2,16,560.817
25,2,17,559.256
25,2,18,542.335
25,2,19,547.232
25,2,20,553.229
25,2,21,528.425
25,2,22,544.066
25,2,23,530.536
25,2,24,529.144
29,1,0,72.786
29,1,1,145.778
29,1,2,287.713
29,1,3,458.989
29,1,4,388.919
29,1,5,437.267
29,1,6,493.144
29,1,7,522.751
29,1,8,558.089
29,1,9,550.382
29,1,10,624.497
29,1,11,598.103
29,1,12,641.934
29,1,13,628.448
29,1,14,633.842
29,1,15,647.298
29,1,16,643.936
29,1,17,652.388
29,1,18,643.505
29,1,19,646.913
29,1,20,637.157
29,1,21,647.555
29,1,22,638.287
29,1,23,633.111
29,1,24,618.361
29,1,25,619.021
29,1,26,610.954
29,1,27,601.15
29,1,28,600.946
29,2,0,23.021
29,2,1,193.688
29,2,2,240.097
29,2,3,581.678
29,2,4,547.806
29,2,5,395.364
29,2,6,456.182
29,2,7,598.568
29,2,8,527.072
29,2,9,609.077
29,2,10,583.7
29,2,11,671.325
29,2,12,662.798
29,2,13,664.724
29,2,14,641.679
29,2,15,671.858
29,2,16,679.203
29,2,17,674.03
29,2,18,675.837
29,2,19,680.057
29,2,20,680.584
29,2,21,664.022
29,2,22,667.933
29,2,23,667.115
29,2,24,643.696
29,2,25,660.025
29,2,26,643.011
29,2,27,645.273
29,2,28,650.034
32,1,0,16.708
32,1,1,65.22
32,1,2,205.202
32,1,3,168.776
32,1,4,302.653
32,1,5,282.834
32,1,6,392.95
32,1,7,460.239
32,1,8,425.569
32,1,9,552.406
32,1,10,610.385
32,1,11,558.013
32,1,12,612.204
32,1,13,593.296
32,1,14,630.106
32,1,15,639.088
32,1,16,653.953
32,1,17,666.678
32,1,18,667.11
32,1,19,664.17
32,1,20,655.992
32,1,21,657.05
32,1,22,658.657
32,1,23,668.41
32,1,24,608.774
32,1,25,643.16
32,1,26,651.645
32,1,27,638.512
32,1,28,642.557
32,1,29,612.194
32,1,30,608.568
32,1,31,610.634
32,2,0,33.061
32,2,1,130.024
32,2,2,45.416
32,2,3,195.088
32,2,4,171.372
32,2,5,317.909
32,2,6,474.59
32,2,7,479.484
32,2,8,490.427
32,2,9,594.994
32,2,10,532.561
32,2,11,617.951
32,2,12,633.664
32,2,13,617.457
32,2,14,637.47
32,2,15,665.831
32,2,16,682.59
32,2,17,675.478
32,2,18,691.68
32,2,19,678.168
32,2,20,676.924
32,2,21,679.373
32,2,22,678.034
32,2,23,680.333
32,2,24,677.765
32,2,25,676.289
32,2,26,667.734
32,2,27,664.982
32,2,28,658.086
32,2,29,656.201
32,2,30,656.349
32,2,31,655.926
